,NTSX,Platinum,F-TAA Weekly,SPY
2021-10-21,131687.82116675936,138008.68064018432,110420.6792038943,151809.20970384328
2021-10-22,132100.147840694,137409.45440568123,110154.21176972862,151651.92056994903
2021-10-25,132838.8040227847,137963.30377613992,110976.6997411994,152465.17732436143
2021-10-26,132901.04889542714,137853.07917938795,111062.94011233356,152602.42546076022
2021-10-27,132903.71236301382,137902.98884615052,110471.68190570895,151926.33990993476
2021-10-28,133448.55567085088,139194.8267495826,111500.74202671494,153392.29464036023
2021-10-29,133853.62165917247,139694.46704097313,111562.94943993154,153703.52633083184
2021-11-01,134051.84932216574,140120.18512175305,111937.03132128956,153967.9444052728
2021-11-02,134698.5246578721,140573.4627911067,112204.2875186235,154590.44625262194
2021-11-03,134915.579023259,142119.54487291398,112872.70821295292,155534.21952239342
2021-11-04,135453.81839091532,144334.50506516107,113421.40120940836,156267.19688760614
2021-11-05,136551.71432449354,144863.21309105007,113889.14767423198,156809.41934575565
2021-11-08,136597.9419057585,144594.7246483582,114016.05428697594,156943.28243843163
2021-11-09,136866.62375929844,143405.65210720425,113600.8290135679,156424.52448790637
2021-11-10,135393.1059242816,141441.44148495086,112378.5066982631,155166.0575511286
2021-11-11,135554.7017864935,141985.0333807501,112655.3548072791,155216.294677288
2021-11-12,135867.89638600286,144023.81415742246,113392.800013661,156387.71213742046
2021-11-15,135377.3075480482,143939.59398351287,113468.47022885922,156441.21890808488
2021-11-16,135803.93667806484,145475.01430740522,113873.4309004417,157060.41264452308
2021-11-17,135633.54772423112,145705.48797084283,113493.98524884431,156678.86436399067
2021-11-18,136042.6636427188,147311.6226640349,114057.16888098283,157211.00862378353
2021-11-19,136065.5402752785,148092.99718502062,113789.65505937378,156929.8576627581
2021-11-22,135643.10701885735,146052.5095264092,113385.02760262176,156488.10945692743
2021-11-23,135385.26146495095,145170.06387523975,113541.81828929846,156695.59725057517
2021-11-24,136155.4779136511,145743.17990159694,113778.33780791984,157113.95788159347
2021-11-26,135680.0671923549,142343.31407567454,111016.57900651146,153609.82216595867
2021-11-29,135301.85479504435,146603.5442310707,112455.39461949591,155494.0605945906
2021-11-30,133570.56437783586,144229.53613937696,110421.11954794738,152468.56236808427
2021-12-01,132777.21589557457,140836.53968678374,109006.51123101404,150775.04038010963
2021-12-02,134625.58942902554,142319.73857191656,110448.57222455546,153084.3710607996
2021-12-03,134376.31805159684,138953.92019358,109276.99753770164,151752.317889456
2021-12-06,135352.8620236224,140581.98051620432,110364.42493213316,153549.5837742545
2021-12-07,136920.62282817933,146574.8708781894,112824.91920198988,156725.71644642722
2021-12-08,136022.45047774582,147209.2613572092,113183.05688029286,157140.73050012867
2021-12-09,135632.48963436793,144766.89536252266,112160.46458198281,156079.75009145384
2021-12-10,136097.64782974822,146642.15930485734,113058.3664219588,157549.05139919627
2021-12-13,135804.9582820707,144145.92726417925,111886.7129637754,156153.4132588316
2021-12-14,135162.84367853333,143022.43552452,111013.09383164153,155079.0465408892
2021-12-15,136057.2579856596,145873.97621050972,112763.80183162326,157502.19931675968
2021-12-16,135527.30090762218,141919.921905312,111477.61082353607,156113.25433102882
2021-12-17,135097.7529090174,141098.30987402578,110513.94872776208,154451.73639279738
2021-12-20,133324.1024114233,139612.39325343302,109377.0917234443,152809.41319113073
2021-12-21,135619.09932471975,142569.13222764124,111498.1860247398,155523.17966388824
2021-12-22,136617.8631838727,143838.14481596288,112612.49522970652,157078.14565766204
2021-12-23,136737.39085255773,144597.0943849197,113242.09416049498,158055.53856622626
2021-12-27,138386.2597180081,146011.01431590598,115002.18166902567,160292.36007171677
2021-12-28,138005.01899453736,145260.28752086792,114752.63909793236,160161.34349308047
2021-12-29,137516.4003928797,145227.32933514862,114844.0805635791,160366.2540375301
2021-12-30,137546.46473933774,144995.99663754084,114569.09088379068,159922.92870905588
2021-12-31,137243.74158088843,144654.54149031796,114215.84001680063,159519.87770760222
2022-01-03,136970.97331132507,145501.47530613275,115021.4251834929,160443.4945806604
2022-01-04,137263.99123171874,144871.07985319427,114847.58420544547,160389.71854515435
2022-01-05,135307.54658879127,140986.92077064628,112490.7653116265,157309.9057534588
2022-01-06,135720.49352230088,140588.81636439986,112578.50903350713,157162.156288238
2022-01-07,134998.401919448,139305.3929942945,112085.70461665092,156540.8084330671
2022-01-10,135017.48402284307,139301.0175171703,111644.13963346412,156345.97608697406
2022-01-11,136260.6301545395,141122.92325272955,112976.12033445266,157770.07936773536
2022-01-12,136216.1903802848,141710.81142000607,113375.16002654766,158196.59487681324
2022-01-13,135628.6951052033,139773.91417983756,112290.50132409642,156016.85751773973
2022-01-14,135312.4356936764,140191.51595233724,112695.19731513124,156080.67328519645
2022-01-18,133268.1695921027,138280.09416158774,111348.32917371127,153316.5542870617
2022-01-19,132506.4178623082,136914.96241112056,110730.1500133841,151724.58361077227
2022-01-20,131553.37078241733,135205.94097457302,109613.26934368598,150045.29419299593
2022-01-21,130035.19425800172,131947.60429559695,107875.21546426712,147099.80609084762
2022-01-24,130325.14736637783,132373.5075415305,107678.60574456456,147724.50052333545
2022-01-25,129352.43440937425,129769.18520275084,108178.67363664854,145920.92614796257
2022-01-26,128706.2698756708,129553.64123025197,107988.41818568626,145554.84136261855
2022-01-27,128922.74046734005,128640.26158816014,107884.65346686872,144836.0965676041
2022-01-28,131018.05028334916,130750.02394852423,108467.03775124345,148433.16711999325
2022-01-31,132397.8359508287,133076.21714998284,109360.93737527188,151106.58233291827
2022-02-01,132983.9812491882,133284.81851295178,110134.20912153542,152127.63461222593
2022-02-02,133729.56974417577,133488.10001432028,110851.86509259084,153605.39852927544
2022-02-03,131704.3127742824,131903.96621527863,109505.4803892299,149994.86473480682
