,Combined_Equity
2021-08-24,382391.2822218952
2021-08-25,382787.42396399315
2021-08-26,380578.5198729288
2021-08-27,385288.4199414592
2021-08-30,387997.41154653125
2021-08-31,387147.5230339053
2021-09-01,387525.8148478661
2021-09-02,387985.04659122595
2021-09-03,388476.82336579147
2021-09-07,387348.2875085311
2021-09-08,386402.34863981535
2021-09-09,385456.86682376877
2021-09-10,381897.08545359375
2021-09-13,382672.02813942084
2021-09-14,381470.67807337036
2021-09-15,385014.05882104783
2021-09-16,384083.652712342
2021-09-17,379595.55463218584
2021-09-20,371734.8330770886
2021-09-21,371586.68930048775
2021-09-22,375990.37786315614
2021-09-23,379714.7317342713
2021-09-24,380086.1720272214
2021-09-27,378684.6970317268
2021-09-28,371702.13928857783
2021-09-29,371546.8011808185
2021-09-30,369778.6236066462
2021-10-01,373078.82731098286
2021-10-04,368692.1527343746
2021-10-05,371999.35343653744
2021-10-06,372756.23217100056
2021-10-07,374479.8241276899
2021-10-08,373620.71659705107
2021-10-11,372328.9889810848
2021-10-12,371836.2822672711
2021-10-13,373473.6013925591
2021-10-14,377719.64739942015
2021-10-15,378837.97022328636
2021-10-18,380252.3541663525
2021-10-19,381542.78191370866
2021-10-20,382068.47708114015
2021-10-21,382611.37008771766
2021-10-22,381825.50881484227
2021-10-25,383708.50489276287
2021-10-26,383766.4963329183
2021-10-27,383274.6164047073
2021-10-28,386269.9578158829
2021-10-29,387800.2612992595
2021-11-01,388694.41644592065
2021-11-02,390351.7680035306
2021-11-03,392657.64335885516
2021-11-04,397683.806332712
2021-11-05,399532.16424602096
2021-11-08,400353.8350157259
2021-11-09,398902.52142378094
2021-11-10,393685.56148792116
2021-11-11,395377.0901019187
2021-11-12,399109.4038624229
2021-11-15,398855.4920804269
2021-11-16,401992.28865070036
2021-11-17,401230.7522561118
2021-11-18,404644.4337553702
2021-11-19,405780.71945087984
2021-11-22,401912.13140124705
2021-11-23,400710.02201549767
2021-11-24,402626.18265109754
2021-11-26,393424.28192979353
2021-11-29,401753.3640269469
2021-11-30,395073.01218076266
2021-12-01,389549.466644805
2021-12-02,393116.1662982589
2021-12-03,388837.92420922633
2021-12-06,391543.2707523084
2021-12-07,401826.2573714984
2021-12-08,402126.1384243459
2021-12-09,397970.095252089
2021-12-10,400924.56283793965
2021-12-13,397360.4106495656
2021-12-14,395202.43867357366
2021-12-15,400147.7908750662
2021-12-16,394823.73601757153
2021-12-17,393021.1764491747
2021-12-20,389746.34938283626
2021-12-21,395542.49226213177
2021-12-22,398236.15529802645
2021-12-23,399436.88523515005
2021-12-27,403123.55896399054
2021-12-28,401496.7444712433
2021-12-29,401076.23542574106
2021-12-30,400834.75691287935
2021-12-31,400511.9646848558
2022-01-03,402632.7519664009
2022-01-04,401724.6650600361
2022-01-05,392276.27544198534
2022-01-06,392548.346436698
2022-01-07,388525.29182677984
2022-01-10,388249.3435835962
2022-01-11,393128.62949369045
2022-01-12,394378.458515121
2022-01-13,390024.14906493673
2022-01-14,391742.96150751604
2022-01-18,385513.08856805996
2022-01-19,381621.84007381677
2022-01-20,376746.5196485059
2022-01-21,370049.13688330154
2022-01-24,371162.0877548899
2022-01-25,366200.7646299472
2022-01-26,366284.1631058271
2022-01-27,363724.55351071176
2022-01-28,368263.49795577023
2022-01-31,374346.0514011537
2022-02-01,375876.56879716
2022-02-02,377990.97061707807
2022-02-03,372110.7863776871
2022-02-04,373921.56521238445
2022-02-07,373235.5160833085
2022-02-08,376220.8096037594
2022-02-09,381523.14208053035
2022-02-10,376943.03005017544
2022-02-11,373127.6900141635
2022-02-14,372805.9120637174
2022-02-15,375833.2192781611
2022-02-16,376434.7756264514
2022-02-17,370177.20313437434
2022-02-18,369356.80537978525
2022-02-22,367836.54105427035
2022-02-23,364388.9796755327
2022-02-24,368350.2179405074
