,NTSX,Platinum Proxy-Aware,F-TAA Stitched,SPY
2008-12-22,88743.79036202177,99437.33855178964,86754.23367710761,58989.066607404915
2008-12-23,88071.99429518421,99134.47761830759,86440.68402574348,58379.23115886754
2008-12-24,88183.81028487075,99438.53114151396,86605.96128956441,58717.98413947333
2008-12-26,88406.3421069213,100181.42309457465,86694.54685956294,59056.73712007913
2008-12-29,88278.82387181367,100433.53383148181,86729.03008803652,58887.36062977623
2008-12-30,89816.7437943626,100382.72159382307,87236.13679296145,60283.215110144774
2008-12-31,89823.84480980782,100630.86102636787,87330.75315756655,61143.71174764104
2009-01-02,90372.92332803592,100661.06049499464,87447.33314857823,62986.63207061759
2009-01-05,89497.79818514048,100100.8109273137,87189.98160877445,62912.15446495249
2009-01-06,89272.5659769347,100411.6759359027,87094.11238587605,63332.19214421427
2009-01-07,88021.48707265139,99439.75403832839,86636.83600504922,61435.11539023663
2009-01-08,88570.16553367133,100034.44476452736,87120.08387840234,61685.676474886845
2009-01-09,86923.1300075911,99773.13227575981,86230.35980561531,60364.49980880078
2009-01-12,86433.05992756964,98597.28903121603,85836.41435646714,58914.488897431125
2009-01-13,86575.38027937996,98642.51541821954,85755.53352660335,59022.901863742016
2009-01-14,85252.99117773841,98100.69332821856,84876.83634602421,57166.36735478369
2009-01-15,85345.9044643384,98364.3301001699,84889.42980089037,57186.68852944768
2009-01-16,85119.47208450809,99269.4868825798,85082.47518112576,57633.85447636437
2009-01-20,82403.1836552627,99653.28628750118,83921.26298160962,54591.584430977084
2009-01-21,83578.65174719985,99724.81306147411,84754.87673897458,56949.5414221619
2009-01-22,82221.75771135272,99823.03090036279,84459.50791410715,56068.72361000162
2009-01-23,82155.34821479474,101255.25586078328,84814.93912550519,56312.677810278314
2009-01-26,82164.04945907266,101412.85244915597,84966.63577897931,56698.880233202995
2009-01-27,83639.56045714537,101270.72254123304,85478.68201928161,57274.780321094586
2009-01-28,84507.48457029356,101132.62679727835,85881.72760616998,59212.59952870892
2009-01-29,82128.44436754457,101692.8327815543,85232.00933091041,57288.29440276769
2009-01-30,80962.47763430171,102208.35035266248,85020.5951854177,56122.88004100273
2009-02-02,81549.86163021313,101461.08784289636,84901.84897473978,55953.50355069983
2009-02-03,81528.25854097136,101401.7762566624,85234.23544153133,56739.522582531
2009-02-04,81082.1947538498,101608.54052375833,85092.98979471125,56461.73312591721
2009-02-05,81650.37600376854,102086.85350945557,85237.6085708701,57301.90858874947
2009-02-06,82900.75480793756,102007.98166318916,85515.74489573995,58934.810072095126
2009-02-09,82863.2494446706,101625.42405398152,85452.18826317397,59016.09477075113
2009-02-10,81371.53612966655,102084.5434073772,84805.42671316418,56312.677810278314
2009-02-11,82126.64411010777,102745.87438714328,85208.68792182142,56644.62369789321
2009-02-12,82002.72638987376,103091.00790900196,85286.54497694851,56685.26604722121
2009-02-13,80780.05154737127,102868.61005172416,84883.88402872733,56075.53070299252
2009-02-17,80002.4403489699,103584.11066376252,84477.23979921584,53676.93136247971
2009-02-18,79592.18168198052,104088.46925448245,84550.77752325425,53548.09711719613
2009-02-19,78439.3168223056,103566.84058374164,84214.61304330692,52972.19702930454
2009-02-20,78279.69399624148,104257.76188081363,84305.99818594397,52457.26046540495
2009-02-23,76825.9861160146,104091.83173587242,83468.50477690139,50580.40478178263
